DATE_YMD,actual,predicted_prob,predicted_class
2017-09-01,0,8.994163282527599e-07,0
2017-10-01,0,1.2742414027507453e-06,0
2017-11-01,0,9.189218546144672e-07,0
2017-12-01,0,1.7196272273898823e-06,0
2018-01-01,0,0.0004803577560265789,0
2018-02-01,0,8.813082935690179e-07,0
2018-03-01,0,7.856626231786121e-07,0
2018-04-01,0,6.918586800786279e-07,0
2018-05-01,0,1.2977539891122561e-05,0
2018-06-01,0,1.6868299058008557e-06,0
2018-07-01,0,1.471019068765589e-06,0
2018-08-01,0,2.6015813780825364e-06,0
2018-09-01,0,2.118477560950996e-06,0
2018-10-01,0,2.311732136970696e-06,0
2018-11-01,0,7.74264778668152e-06,0
2018-12-01,0,2.8072243702301944e-06,0
2019-01-01,0,0.00011049269505588947,0
2019-02-01,0,8.648445505406983e-05,0
2019-03-01,0,7.849035269968326e-07,0
2019-04-01,0,0.000659034507138715,0
2019-05-01,0,8.52296459833047e-07,0
2019-06-01,0,1.96626250687601e-06,0
2019-07-01,0,4.90441803836133e-05,0
2019-08-01,0,9.680663259540317e-07,0
2019-09-01,0,4.257384200883258e-05,0
2019-10-01,0,0.00025723676925065063,0
2019-11-01,0,9.397695047099038e-06,0
2019-12-01,0,1.7929199084821068e-05,0
2020-01-01,0,0.0008152467220148488,0
2020-02-01,0,0.001525499708137002,0
2020-03-01,1,0.9996546552441832,1
2020-04-01,1,0.9999913951086143,1
2020-05-01,0,0.0035664402261011813,0
2020-06-01,0,0.002207434613781628,0
2020-07-01,0,2.001378359159563e-06,0
2020-08-01,0,1.5988387104140334e-06,0
2020-09-01,0,8.213552063653583e-07,0
2020-10-01,0,1.6786848900312277e-06,0
2020-11-01,0,1.2360009551782557e-05,0
2020-12-01,0,0.00037305242189239,0
2021-01-01,0,2.437880949200953e-05,0
2021-02-01,0,0.00011814887099457686,0
2021-03-01,0,1.1095481631729699e-06,0
2021-04-01,0,9.982601755108997e-07,0
2021-05-01,0,9.009585813303689e-07,0
2021-06-01,0,1.408258073878744e-06,0
2021-07-01,0,8.03142278927965e-07,0
2021-08-01,0,0.00010783263716689902,0
2021-09-01,0,1.3354318750167638e-05,0
2021-10-01,0,1.8730288098809e-06,0
2021-11-01,0,2.7726239888092435e-06,0
2021-12-01,0,1.6911081794301083e-05,0
2022-01-01,0,0.19788267328302622,1
2022-02-01,0,0.13231502572126738,1
2022-03-01,0,0.34050217068735095,1
2022-04-01,0,8.119892629406062e-05,0
2022-05-01,0,0.002405214849275259,0
2022-06-01,0,0.18375600227096903,1
2022-07-01,0,0.0001413385005423162,0
2022-08-01,0,7.49222276886573e-05,0
2022-09-01,0,9.871870961280485e-05,0
2022-10-01,0,0.004302209690410474,0
2022-11-01,0,0.00830990103269381,0
2022-12-01,0,0.000491960937713196,0
2023-01-01,0,7.22463856059765e-06,0
2023-02-01,0,1.2285870109768376e-06,0
2023-03-01,0,2.268305494552087e-05,0
2023-04-01,0,8.739560508261157e-06,0
2023-05-01,0,2.6260085027829564e-05,0
2023-06-01,0,6.534726050094812e-06,0
2023-07-01,0,4.970789901171599e-07,0
2023-08-01,0,8.898844742148282e-07,0
2023-09-01,0,8.46630751636683e-07,0
2023-10-01,0,0.0002822821228617658,0
2023-11-01,0,1.8306024516710362e-05,0
2023-12-01,0,1.675026598366029e-06,0
2024-01-01,0,1.4041716934691123e-05,0
2024-02-01,0,1.3792857564289784e-06,0
2024-03-01,0,6.985629428893898e-07,0
2024-04-01,0,2.6738980281371062e-06,0
2024-05-01,0,1.4690354134372857e-06,0
2024-06-01,0,1.1838848341851142e-06,0
2024-07-01,0,4.1314677691809335e-06,0
2024-08-01,0,0.15,1
2024-09-01,0,0.34,1
